contract_no,field_name,seller,secondary_seller,general_contractor,contract_qty,created_at,updated_at,memo,contract_date,start_date,jv,unit_price
1167200001,（仮称）錦糸町ＰＪ,大同建材産業　㈱,大同建材産業　㈱,株式会社 diff,600,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:46.50398+00:00,,,,,
1033000068,（仮称）中央区日本橋小網町計画新築工事,スミセ建材　㈱,丸壽産業（株）東京支店,新三平建設株式会社,1160,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:48.276173+00:00,,,,,
1096900005,（仮称）葛飾区小菅２丁目計画新築工事,千代田興業㈱,千代田興業㈱,株式会社　深山工務店,1000,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:48.534152+00:00,,,,,
1145500005,（仮称）江東橋一丁目　M　新築工事,TKConneCT　（株）,TKConneCT　（株）,株式会社 ネクスト,300,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:49.021747+00:00,,,,,
49300007,（仮称）さくらパークビル建替え計画,東信建材　㈱,三谷商事㈱　東京支店,株式会社　大雄,1370.0,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:49.651094+00:00,,,,,
1121000071,毛利１丁目アパートメントホテル新築工事,丸壽産業（株）東京支店,丸壽産業（株）東京支店,髙松建設 株式会社,660,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:49.904014+00:00,,,,,
1121000068,一之江・小嶋マンション新築工事,丸壽産業（株）東京支店,丸壽産業（株）東京支店,髙松建設 株式会社,1100,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:52.596875+00:00,,,,,
1132400028,（仮称）押上Ⅱプロジェクト新築工事,野原産業セメント（株）（1）,野原産業セメント（株）（1）,生和コーポレーション株式会社 千葉支店第一工事部,460,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:21:44.159253+00:00,,,,,
17800016,（仮称）イリーゼ上篠崎新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,真柄建設 株式会社,1000.0,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:47.511366+00:00,,,,,
1016200005,（仮称）東駒形ホテル計画,三谷商事㈱　東京支店,富沢資材産業　㈱,小俣建設工業株式会社,500,2026-06-10T23:30:18.546095+00:00,2026-06-24T07:24:34.999735+00:00,,,,,
20700102,（仮称）錦糸１丁目ＰＲＯＪＥＣＴ新築工事,住商セメント　㈱,山一興産　㈱,スターツＣＡＭ株式会社,1100,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:47.777571+00:00,,,,,
1167000001,（仮称）江戸川区南葛西３丁目計画,野原産業セメント（株）（1）,野原産業セメント（株）（1）,田中建設株式会社 東京支店,1000,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:22:32.736522+00:00,,,,,
1032300038,（仮称）墨田区千歳1丁目計画新築工事,スミセ建材　㈱,三谷商事㈱　東京支店,ライト工業　株式会社,1200.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:09:31.124431+00:00,,,,,
12400018,（仮称）平井六丁目計画,三谷商事㈱　東京支店,スミセ建材　㈱,大成ユーレック 株式会社,1100,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:48.028564+00:00,,,,,
93200053,立川４丁目プロジェクト新築工事,トクヤマ通商　㈱　東京支店,トクヤマ通商　㈱　千葉営業所,大東建託　株式会社,140,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:50.034485+00:00,,,,,
1064800006,（仮称）墨田区立川１丁目プロジェクト 新築工事,富沢資材産業　㈱,富沢資材産業　㈱,株式会社　ナミキ,500,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:50.51887+00:00,,,,,
115100051,（仮称）CLK両国新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社 リンク・トラスト,1000.0,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:51.003956+00:00,,,,,
1140300002,（仮称）コーナンＰＲＯ江戸川中央店新築工事,高山総業　㈱,高山総業　㈱,株式会社　エンバイオ・エンジニアリング,500,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:51.498163+00:00,,,,,
1121000069,瑞江・有限会社ヒロカシマダマンションⅢ新築工事,丸壽産業（株）東京支店,丸壽産業（株）東京支店,髙松建設 株式会社,800,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:52.115261+00:00,,,,,
1152500005,アルファレガロ亀戸2 新築工事,三谷商事㈱　北関東第一支店,三谷商事㈱　北関東第一支店,（株）エスエイト,260.0,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:53.195796+00:00,,,,,
1033000070,（仮称）東日本橋ホテル計画新築工事,大同建材産業　㈱,丸壽産業（株）東京支店,新三平建設株式会社,730,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:53.435928+00:00,,,,,
1033000071,（仮称）日本橋室町四丁目計画新築工事,丸壽産業（株）東京支店,㈱　オダ,新三平建設株式会社,1000,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:32:11.980788+00:00,,,,,
1033000072,（仮称）台東区浅草橋２丁目マンション新築工事,スミセ建材　㈱,丸壽産業（株）東京支店,新三平建設株式会社,1160,2026-06-10T23:30:18.546095+00:00,2026-06-24T06:07:21.296521+00:00,,,,,
1031800008,（仮称）墨田区八広四丁目計画,三谷商事㈱　東京支店,上原成商事　㈱　　東京支店,株式会社　麦島建設,1400,2026-06-10T23:30:18.546095+00:00,2026-06-24T07:25:27.844726+00:00,,,,,
1070100040,日本橋蠣殻1丁目PJ　新築工事,三谷商事㈱　東京支店,三谷商事㈱　東京支店,株式会社　片山組,500.0,2026-06-10T23:30:18.546095+00:00,2026-06-11T06:03:02.684064+00:00,,,,,
10800034,（仮称）墨田区錦糸１丁目マンション新築工事,野原産業セメント（株）（1）,野原産業セメント（株）（1）,株式会社 竹徳,800,2026-06-10T23:30:18.546095+00:00,2026-06-25T05:55:53.077266+00:00,,,,,
